District,Region,AC Name,AC No,AC_Type,Year,Rank,Candidate Name,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Voteshare Percentage,Margin Per,Margin
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,1,Umar Ali Khan,SP,134513,,281373,372728,75.49,47.81,-13.46255682,-37880
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,2,Naresh Saini,BJP,96633,,281373,372728,75.49,34.34,13.46255682,37880
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,3,Rais Malik,BSP,45075,,281373,372728,75.49,16.02,31.78627658,89438
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,4,Poonam Kamboj,INC,1632,,281373,372728,75.49,0.58,47.22592431,132881
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,5,Sushil Kumar,AAAP,1162,,281373,372728,75.49,0.41,47.39296237,133351
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,6,None Of The Above,NOTA,1117,,281373,372728,75.49,0.4,47.40895537,133396
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,7,Dharampal Singh,IND,560,,281373,372728,75.49,0.2,47.60691324,133953
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,8,Ali Khan,IND,409,,281373,372728,75.49,0.15,47.66057866,134104
SAHARANPUR,Pashchimanchal,BEHAT,1,GEN,2022,9,Mo. IKram,IND,272,,281373,372728,75.49,0.1,47.70926848,134241
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,1,MUKESH CHOUDHARY,BJP,104114,,270652,355840,76.06,38.47,-0.116385617,-315
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,2,DR. DHARAM SINGH SAINI,SP,103799,,270652,355840,76.06,38.35,0.116385617,315
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,3,SAHIL KHAN,BSP,55112,,270652,355840,76.06,20.36,18.10516826,49002
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,4,RIZWANA,AIMIM,3593,,270652,355840,76.06,1.33,37.14031302,100521
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,5,RANDHEER SINGH,INC,1354,,270652,355840,76.06,0.5,37.9675746,102760
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,6,None Of The Above,NOTA,710,,270652,355840,76.06,0.26,38.20551853,103404
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,7,SONU KUMAR,ASPKR,616,,270652,355840,76.06,0.23,38.24024947,103498
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,8,ATUL KUMAR,Inqalab Vikas Dal,420,,270652,355840,76.06,0.16,38.31266719,103694
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,9,NITIN KUMAR,Jai Maha Bharath Party,267,,270652,355840,76.06,0.1,38.36919735,103847
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,10,ASHISH TYAGI,AAAP,240,,270652,355840,76.06,0.09,38.37917326,103874
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,11,DEVENDRA CHAUHAN,Aamjan Ekta Party,218,,270652,355840,76.06,0.08,38.38730177,103896
SAHARANPUR,Pashchimanchal,NAKUR,2,GEN,2022,12,NAHID LATIF,Lok Dal,209,,270652,355840,76.06,0.08,38.39062708,103905
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,1,RAJEEV GUMBER,BJP,143195,,293112,445458,65.8,48.85,-2.536231884,-7434
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,2,SANJAY GARG,SP,135761,,293112,445458,65.8,46.32,2.536231884,7434
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,3,Manish,BSP,8776,,293112,445458,65.8,2.99,45.85926199,134419
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,4,SUKHWINDER KAUR,INC,2256,,293112,445458,65.8,0.77,48.08366768,140939
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,5,None Of The Above,NOTA,753,,293112,445458,65.8,0.26,48.59644095,142442
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,6,MANSOOR AHMED,ASPKR,695,,293112,445458,65.8,0.24,48.61622861,142500
