District,Region,AC Name,PC Name,Year,AC No,PC No,Constituency_Type,CandID,Candidate,Party,Votes,Rank,Valid_Votes,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Candidate_Type
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,1,IMRAN MASOOD,INC,89920,1,243593,36.91,-10555,-4.33,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,3,RAGHAV LAKHANPAL,BJP,79365,2,243593,32.58,10555,4.33,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,2,JAGDISH SINGH RANA,BSP,50582,3,243593,20.76,39338,16.15,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,4,SHAZAN MASOOD URF SHADAN MASOOD,SP,16978,4,243593,6.97,72942,29.94,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,15,None of the Above,NOTA,1855,5,243593,0.76,88065,36.15,3.45,
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,13,SESHRAJ,IND,1197,6,243593,0.49,88723,36.42,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,14,HANSRAJ SAINI,IND,1070,7,243593,0.44,88850,36.47,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,12,CP VERMA,IND,564,8,243593,0.23,89356,36.68,3.45,SC
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,9,SHIV KUMAR,ASP,534,9,243593,0.22,89386,36.69,3.45,SC
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,5,YOGESH KUMAR,AAAP,384,10,243593,0.16,89536,36.75,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,11,RAGHUVEER SINGH BODH,IND,315,11,243593,0.13,89605,36.78,3.45,SC
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,6,RATAN SINGH,BMUP,262,12,243593,0.11,89658,36.8,3.45,SC
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,10,MOHD. FIROZ AFTAB,IND,240,13,243593,0.1,89680,36.81,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,8,SHAHANAVAJ,RJ,174,14,243593,0.07,89746,36.84,3.45,GEN
SAHARANPUR,Pashchimanchal,BEHAT,Saharanpur,2014,1,1,GEN,7,RAJENDER KUMAR,ARVP,153,15,243593,0.06,89767,36.85,3.45,SC
